year,program,vote,Principal gender equality,Principal all climate,Principal disability,value
2022,0717000 General Administration Planning and Support Services,1071 The National Treasury,FALSE,FALSE,FALSE,59223710949
2022,0718010 Resource Mobilization,1071 The National Treasury,FALSE,FALSE,FALSE,14790656436
2022,0718020 Budget Formulation Coordination and Management,1071 The National Treasury,FALSE,FALSE,FALSE,16134367377
2022,0718030 Audit Services,1071 The National Treasury,FALSE,FALSE,FALSE,812329038
2022,0718040 Accounting Services,1071 The National Treasury,FALSE,FALSE,FALSE,3160970775
2022,0718050 Supply Chain Management Services,1071 The National Treasury,FALSE,FALSE,FALSE,982542777
2022,0718060 Public Financial Management Reforms,1071 The National Treasury,FALSE,FALSE,FALSE,1363169412
2022,0718070 Government Investment and Assets,1071 The National Treasury,FALSE,FALSE,FALSE,31712375792
2022,0718000 Public Financial Management,1071 The National Treasury,FALSE,FALSE,FALSE,68956411607
2022,"0719010 Fiscal Policy Formulation, Development and Management",1071 The National Treasury,FALSE,FALSE,FALSE,7540281874
2022,0719020 Debt Management,1071 The National Treasury,FALSE,FALSE,FALSE,130953932
2022,0719040 Microfinance Sector Support and Development,1071 The National Treasury,FALSE,FALSE,FALSE,3.09e+09
2022,0719000 Economic and Financial Policy Formulation and Management,1071 The National Treasury,FALSE,FALSE,FALSE,10761235806
2022,0720010 Elimination of Restrictive Trade Practices,1071 The National Treasury,FALSE,FALSE,FALSE,332100000
2022,0720000 Market Competition,1071 The National Treasury,FALSE,FALSE,FALSE,332100000
2022,0740010 Government Clearing Services,1071 The National Treasury,FALSE,FALSE,FALSE,74820240
2022,0740000 Government Clearing Services,1071 The National Treasury,FALSE,FALSE,FALSE,74820240
2022,0706010 Economic Planning Coordination services,1072 State Department for Planning,FALSE,FALSE,FALSE,468257409
2022,0706020 Community Development,1072 State Department for Planning,FALSE,FALSE,FALSE,44486451820
2022,0706030 Macro Economic policy planning and regional integration,1072 State Department for Planning,FALSE,FALSE,FALSE,752746858
2022,0706040 Policy Research,1072 State Department for Planning,FALSE,FALSE,FALSE,593780000
2022,0706050 Population Management Services,1072 State Department for Planning,FALSE,FALSE,FALSE,452460000
2022,"0706060 Infrastructure, science, technology and innovation",1072 State Department for Planning,FALSE,FALSE,FALSE,43999480
2022,0706070 Sectoral Policy and Planning,1072 State Department for Planning,FALSE,FALSE,FALSE,115674433
2022,0706000 Economic Policy and National Planning,1072 State Department for Planning,FALSE,FALSE,FALSE,46913370000
2022,0707010 Census and Surveys,1072 State Department for Planning,FALSE,FALSE,FALSE,1546370000
2022,0707000 National Statistical Information Services,1072 State Department for Planning,FALSE,FALSE,FALSE,1546370000
2022,0708010 National Integrated Monitoring and Evaluation,1072 State Department for Planning,FALSE,FALSE,FALSE,190338668
2022,0708040 Public Investments Management Services,1072 State Department for Planning,FALSE,FALSE,FALSE,85451332
2022,0708000 Public Investment Management Monitoring and Evaluation Services,1072 State Department for Planning,FALSE,FALSE,FALSE,275790000
2022,0709010 Human Resources and Support Services,1072 State Department for Planning,FALSE,FALSE,FALSE,271414559
2022,0709020 Financial Management Services,1072 State Department for Planning,FALSE,FALSE,FALSE,57482551
2022,0709030 Information Communications Services,1072 State Department for Planning,FALSE,FALSE,FALSE,21692890
2022,0709000 General Administration Planning and Support Services,1072 State Department for Planning,FALSE,FALSE,FALSE,350590000
2022,0401020 Non-communicable Disease Prevention & Control,1081 Ministry of Health,FALSE,FALSE,FALSE,781904285
2022,0401030 Reproductive Maternal Neo-natal Child & Adolescent Health-RMNCAH,1081 Ministry of Health,FALSE,FALSE,FALSE,7892506800
2022,0401040 Radiation Safety and Nuclear Security,1081 Ministry of Health,FALSE,FALSE,FALSE,1.8e+08
2022,0401050 Communicable Disease Control,1081 Ministry of Health,FALSE,FALSE,FALSE,7980935471
2022,0401080 Disease Surveillance and Response,1081 Ministry of Health,FALSE,FALSE,FALSE,9255624210
2022,0401090 Environmental Health,1081 Ministry of Health,FALSE,FALSE,FALSE,464607106
2022,"0401000 Preventive, Promotive & Reproductive Health",1081 Ministry of Health,FALSE,FALSE,FALSE,26555577872
2022,0402010 National Referral Services,1081 Ministry of Health,FALSE,FALSE,FALSE,40146052825
2022,0402020 National Public Health Labs,1081 Ministry of Health,FALSE,FALSE,FALSE,125420792
2022,0402040 Forensic and Diagnostics,1081 Ministry of Health,FALSE,FALSE,FALSE,3331042100
2022,0402060 Health Infrastructure and Equipment,1081 Ministry of Health,FALSE,FALSE,FALSE,5.214e+09
2022,0402080 National Blood Transfusion Services,1081 Ministry of Health,FALSE,FALSE,FALSE,129101678
2022,0402090 Health Products and Technologies,1081 Ministry of Health,FALSE,FALSE,FALSE,2.906e+09
2022,0402000 National Referral & Specialized Services,1081 Ministry of Health,FALSE,FALSE,FALSE,51851617395
2022,0403010 Capacity Building & Training (Pre Service & In Service),1081 Ministry of Health,FALSE,FALSE,FALSE,8.495e+09
2022,0403020 Research & Innovations on Health,1081 Ministry of Health,FALSE,FALSE,FALSE,3.904e+09
2022,0403000 Health Research and Development,1081 Ministry of Health,FALSE,FALSE,FALSE,1.2399e+10
2022,"0404010 Health Policy, Planning & Financing",1081 Ministry of Health,FALSE,FALSE,FALSE,1457510362
2022,"0404020 Health Standards, Quality Assurance & Standards",1081 Ministry of Health,FALSE,FALSE,FALSE,1077235560
2022,0404030 National Quality Control Laboratories,1081 Ministry of Health,FALSE,FALSE,FALSE,118030341
2022,0404040 Human Resource Management and Development,1081 Ministry of Health,FALSE,FALSE,FALSE,6176794793
2022,"0404000 General Administration, Planning & Support Services",1081 Ministry of Health,FALSE,FALSE,FALSE,8829571056
2022,"0405040 Health Policy, Planning & Financing",1081 Ministry of Health,FALSE,FALSE,FALSE,15204927724
2022,0405050 Health Standards and Regulations,1081 Ministry of Health,FALSE,FALSE,FALSE,456564421
2022,0405070 Social Protection In Health,1081 Ministry of Health,FALSE,FALSE,FALSE,7221996184
2022,"0405000 Health Policy, Standards and Regulations",1081 Ministry of Health,FALSE,FALSE,FALSE,22883488329
2022,0202010 Construction of Roads and Bridges,1091 State Department for Infrastructure,FALSE,FALSE,FALSE,103474424724
2022,0202020 Rehabilitation of Roads,1091 State Department for Infrastructure,FALSE,FALSE,FALSE,39244272192
2022,0202030 Maintenance of Roads,1091 State Department for Infrastructure,FALSE,FALSE,FALSE,7.1967e+10
2022,"0202060 General Administration, Planning and Support Services",1091 State Department for Infrastructure,FALSE,FALSE,FALSE,6607870938
2022,0202000 Road Transport,1091 State Department for Infrastructure,FALSE,FALSE,FALSE,221293567854
2022,0201020 Human Resources and Support Services,1092 State Department for Transport,FALSE,FALSE,FALSE,672993611
2022,0201030 Financial Management Services,1092 State Department for Transport,FALSE,FALSE,FALSE,29237589
2022,0201040 Information Communications Services,1092 State Department for Transport,FALSE,FALSE,FALSE,5768800
2022,"0201000 General Administration, Planning and Support Services",1092 State Department for Transport,FALSE,FALSE,FALSE,7.08e+08
2022,0204010 Marine Transport,1092 State Department for Transport,FALSE,FALSE,FALSE,1045897488
2022,0204000 Marine Transport,1092 State Department for Transport,FALSE,FALSE,FALSE,1045897488
2022,0205010 Air Transport,1092 State Department for Transport,FALSE,FALSE,FALSE,9206102512
2022,0205000 Air Transport,1092 State Department for Transport,FALSE,FALSE,FALSE,9206102512
2022,0216010 Road Safety,1092 State Department for Transport,FALSE,FALSE,FALSE,1.2e+07
2022,0216000 Road Safety,1092 State Department for Transport,FALSE,FALSE,FALSE,1.2e+07
2022,0220010 Administrative Services,1093 State Department for Shipping and Maritime,FALSE,FALSE,FALSE,326664067
2022,0220020 Shipping Affairs,1093 State Department for Shipping and Maritime,FALSE,FALSE,FALSE,108144411
2022,0220030 Maritime Affairs,1093 State Department for Shipping and Maritime,FALSE,FALSE,FALSE,2925191522
2022,0220000 Shipping and Maritime Affairs,1093 State Department for Shipping and Maritime,FALSE,FALSE,FALSE,3.36e+09
2022,0102010 Housing Development,1094 State Department for Housing & Urban Development,FALSE,FALSE,FALSE,10770052707
2022,0102020 Estate Management,1094 State Department for Housing & Urban Development,FALSE,FALSE,FALSE,1345843103
2022,0102030 Delivery of Affordable and Social Housing Units,1094 State Department for Housing & Urban Development,FALSE,FALSE,FALSE,2262104190
2022,0102000 Housing Development and Human Settlement,1094 State Department for Housing & Urban Development,FALSE,FALSE,FALSE,1.4378e+10
2022,0105010 Urban Mobility and Transport,1094 State Department for Housing & Urban Development,FALSE,FALSE,FALSE,
2022,0105020 Metropolitan Planning & Infrastructure Development,1094 State Department for Housing & Urban Development,FALSE,FALSE,FALSE,2413705349
2022,0105040 Urban Development and Planning Services,1094 State Department for Housing & Urban Development,FALSE,FALSE,FALSE,3306294651
2022,0105000 Urban and Metropolitan Development,1094 State Department for Housing & Urban Development,FALSE,FALSE,FALSE,5.72e+09
2022,"0106010 Administration, Planning & Support Services",1094 State Department for Housing & Urban Development,FALSE,FALSE,FALSE,2.63e+08
2022,0106000 General Administration Planning and Support Services,1094 State Department for Housing & Urban Development,FALSE,FALSE,FALSE,2.63e+08
2022,0103010 Stalled and new Government buildings,1095 State Department for Public Works,FALSE,FALSE,FALSE,1.181e+09
2022,0103000 Government Buildings,1095 State Department for Public Works,FALSE,FALSE,FALSE,1.181e+09
2022,0104010 Coastline Infrastructure Development,1095 State Department for Public Works,FALSE,FALSE,FALSE,228563287
2022,0104020 Pedestrian access,1095 State Department for Public Works,FALSE,FALSE,FALSE,265436713
2022,0104000 Coastline Infrastructure and Pedestrian Access,1095 State Department for Public Works,FALSE,FALSE,FALSE,4.94e+08
2022,"0106010 Administration, Planning & Support Services",1095 State Department for Public Works,FALSE,FALSE,FALSE,317073466
2022,"0106020 Procurement, Warehousing and Supply",1095 State Department for Public Works,FALSE,FALSE,FALSE,76926534
2022,0106000 General Administration Planning and Support Services,1095 State Department for Public Works,FALSE,FALSE,FALSE,3.94e+08
2022,0218010 Regulation of Constructions,1095 State Department for Public Works,FALSE,FALSE,FALSE,2478684000
2022,0218020 Research Services,1095 State Department for Public Works,FALSE,FALSE,FALSE,80534210
2022,0218030 Building Standards,1095 State Department for Public Works,FALSE,FALSE,FALSE,64781790
2022,0218000 Regulation and Development of the Construction Industry,1095 State Department for Public Works,FALSE,FALSE,FALSE,2.624e+09
2022,1002010 National Environment Management,1108 Ministry of Environment and Forestry,FALSE,FALSE,FALSE,2861800000
2022,1002030 Policy & Governance in Environment Management,1108 Ministry of Environment and Forestry,FALSE,FALSE,FALSE,1.54e+08
2022,1002040 Climate Change Adaptation and Mitigation,1108 Ministry of Environment and Forestry,FALSE,FALSE,FALSE,9.6e+07
2022,1002000 Environment Management and Protection,1108 Ministry of Environment and Forestry,FALSE,FALSE,FALSE,3111800000
2022,"1010010 General Administration, Planning and Support Services",1108 Ministry of Environment and Forestry,FALSE,FALSE,FALSE,475200000
2022,"1010000 General Administration, Planning and Support Services",1108 Ministry of Environment and Forestry,FALSE,FALSE,FALSE,475200000
