keyword,s_a_score,p_a_score,s_m_score,p_m_score
adapt,0.9003305165117677,0.7894488967056684,0.5941124670289737,0.438938984446943
adaptation,0.9282367722590167,0.8604696456131526,0.576766174944856,0.4438944878486071
adaptative,0.9526918530464172,0.7668769955635071,0.36279673874378204,0.15079125901684162
adaption,0.9330267722660539,0.8273959776312955,0.509158594881074,0.33879613399105724
adaptive,0.9344673262210563,0.8413639096790575,0.518030394660309,0.3656469399604248
afforestation,0.7948128618299961,0.41965800149773713,0.8410469018854201,0.42841007886454463
agri,0.8571047352732353,0.5046681937563291,0.6965010938136725,0.27751677901536786
agricole,0.9052571483133804,0.5533525730586715,0.5948428360020949,0.20367063960662882
agricoles,0.9091745377759262,0.5785345460594811,0.5829487671038256,0.2358229322094802
agricultural,0.867714557789064,0.5430065664631485,0.5671083847919423,0.22963438363594288
agriculture,0.8868216775844644,0.6109680629890409,0.5976544664363104,0.2684136138344504
agro,0.9006101550565337,0.6238308968243682,0.6457549874668591,0.28583194989757504
agroecological,0.9389112823265643,0.6674822434351957,0.5659893892767015,0.2046138636059751
agroecology,0.9341584922269334,0.6729444899820081,0.6069926745438761,0.20578036941732317
agroforestry,0.8879461746733144,0.6871926731183985,0.7460776612443744,0.48547533020500167
agrícola,0.9107670818056379,0.5596448859998158,0.7890821516513824,0.3200109977541225
air,0.6017425104925528,0.45055841500572985,0.8267326392358803,0.6239808974740556
ambiental,0.7858970771233241,0.551016053656737,0.8897798728942871,0.6093014107147853
anthracnose,0.0,0.0,0.0,0.0
aquaponics,0.8587481737136841,0.15666417032480234,0.6573842644691468,0.07683106791228053
baterias,0.0,0.0,0.0,0.0
batería,0.0,0.0,0.0,0.0
batterie,0.17335154329027444,0.1512858588248491,0.9761203186852592,0.9687935539654323
batteries,0.36531497112342287,0.28602927759112345,0.9384703267188299,0.814182442036413
battery,0.26749284209116647,0.27127644136224105,0.9744515729987103,0.9663981536160344
bio,0.7286508965586859,0.44227103760377284,0.814149666814104,0.4743310350496026
biodiversity,0.8659850125963038,0.5478384814201431,0.8038850299986926,0.4244626148790121
biodiversité,0.9250075361638699,0.68632697090858,0.8028556284195972,0.501299643102717
bioenergy,0.4942460232056104,0.38837035043308366,0.970545252928367,0.931850974376385
biomasa,0.474258154630661,0.2844438105821609,0.9566167294979095,0.8589042723178864
biomass,0.5136715370316466,0.40394297519996136,0.9100893137334776,0.7931055117304585
biomasse,0.4233392743127687,0.30789241859955446,0.9486813749585833,0.8484877949314458
bioremediation,0.6000520586967468,0.1474907547235489,0.8286991119384766,0.1568232178688049
bosque,0.8078642169634501,0.5942376581331094,0.9585494081179301,0.7813744535048802
bosques,0.7940032112187353,0.6560346321042242,0.9619450980219347,0.8799667805433273
carbon,0.687534183932773,0.6144736966858234,0.919724037579798,0.8313230050620044
carbone,0.7932433586967879,0.7042716502958586,0.8539913230198474,0.7468348957044034
catastrophe,0.916663671261631,0.8544036463426892,0.39468689973000437,0.2817500101227779
catastrophes,0.9209091060641986,0.7783372840399284,0.4511512536277522,0.2645032670359308
catastrophic,0.8306530792462198,0.6512441470434791,0.4743484760585584,0.25791395857538046
catástrofe,0.0,0.0,0.0,0.0
catástrofes,0.0,0.0,0.0,0.0
ccnucc,0.9359686019874754,0.9488086771397364,0.636643797868774,0.6410910487174988
cement,0.4611301809549332,0.3940808981657028,0.8970753237605095,0.8220627408474683
cgiar,0.9469673640934038,0.7979918013752243,0.7112929616813306,0.34984532058422946
charcoal,0.6001898590908494,0.44741722793578237,0.8732386939227581,0.6881825421384514
chemin de fer,0.0,0.0,0.0,0.0
chemins de fer,0.0,0.0,0.0,0.0
clean,0.6082574100551491,0.4491223852590708,0.8414126335414583,0.6906898465503877
cleaner,0.5588660167654356,0.3758028846730789,0.894314032793045,0.6732543183366457
clim,0.9283423999945323,0.9159267839458254,0.8418549203210407,0.7243664580914709
climat,0.8910745260325708,0.7699674545945089,0.6191504994553996,0.45899955293292577
climate,0.8528013091544203,0.712168947795733,0.6868645849176566,0.4810140094590741
climateshot,0.0,0.0,0.0,0.0
climatic,0.9162608396912378,0.7865438305393413,0.5075090094691231,0.291095512234187
climatico,0.9149494630595049,0.7766501869385442,0.8611608017235994,0.5943677747466912
climatique,0.914880642656124,0.861436744372953,0.7104604333037078,0.5751392560107915
climatiques,0.9346306545590117,0.8412016734953229,0.539862253297904,0.390022479743839
climático,0.8873792903586513,0.8108055619522929,0.8179288749538717,0.6443058541266337
cng,0.4343794286251068,0.6941902041435242,0.9644115567207336,0.9782510995864868
coal,0.4551737803605295,0.3378047050247269,0.9459110753190133,0.8343347667926743
coastal,0.8944390628624845,0.6540749485712003,0.6086092706372016,0.29497391091404007
coffee,0.8531757503565104,0.507655276465544,0.7106228781624074,0.3389797072309109
compost,0.6459266970103438,0.37723796268586407,0.8020896464586258,0.49184590959074814
composting,0.649359836693733,0.30638414260841185,0.8094947030467372,0.4836886868842186
conservation,0.8593151924962347,0.5407036378938033,0.7862225396891843,0.407455399514673
consistently,0.6488084719869597,0.4698140280289126,0.6615151787369415,0.42222403330278807
contribución determinada nacional,0.0,0.0,0.0,0.0
contribution determinee nationale,0.0,0.0,0.0,0.0
cook,0.6864591386972689,0.5379962506247502,0.7486406477058635,0.5737554133851447
cooking,0.44990662921492647,0.42804968218977857,0.9102902485466585,0.8605982350707962
coping,0.876067318575512,0.6584099950729916,0.47590825891140665,0.21869033509358246
crop,0.8911293232586326,0.6167268357270639,0.487589725154863,0.18245682080468356
crops,0.8584996715837668,0.5625961969406102,0.5480751337569806,0.230762212654596
cultivo,0.9074888229370117,0.6141883159677187,0.8053696850935618,0.3813672848045826
cultivos,0.9350638389587402,0.6240298748016357,0.7071542292833328,0.2531063603237271
culture,0.7270176411429157,0.3159501685135006,0.6396116160519933,0.19146222253009557
cultures,0.8174264770977705,0.530207094514869,0.5370668983719882,0.23537548266812364
