year,Principal gender equality,Principal all climate,Principal disability,region_name,usd_disbursement_deflated
2019,TRUE,FALSE,FALSE,Far East Asia,272.684469
2019,TRUE,FALSE,FALSE,Middle East,499.438578
2019,TRUE,FALSE,FALSE,Caribbean & Central America,163.600129
2019,FALSE,TRUE,FALSE,Caribbean & Central America,838.445024999999
2019,FALSE,FALSE,TRUE,Caribbean & Central America,16.995202
2019,TRUE,FALSE,FALSE,South America,149.967792
2019,FALSE,FALSE,TRUE,Far East Asia,27.599337
2019,FALSE,TRUE,FALSE,Far East Asia,1523.002238
2019,TRUE,TRUE,FALSE,Europe,6.241934
2019,TRUE,TRUE,FALSE,South & Central Asia,17.378741
2019,TRUE,TRUE,FALSE,Far East Asia,9.505931
2019,TRUE,FALSE,TRUE,South & Central Asia,2.412828
2019,TRUE,FALSE,TRUE,Middle East,58.398457
2019,TRUE,FALSE,FALSE,Oceania,51.455546
2019,FALSE,TRUE,FALSE,Oceania,209.158363
2019,TRUE,TRUE,FALSE,Caribbean & Central America,3.644521
2019,FALSE,TRUE,FALSE,Middle East,263.370012
2019,TRUE,FALSE,TRUE,Far East Asia,0.175832
2019,TRUE,FALSE,TRUE,South America,0.696792
2019,FALSE,FALSE,TRUE,South America,22.412202
2019,FALSE,FALSE,TRUE,Oceania,0.662006000000001
2019,TRUE,TRUE,TRUE,Europe,10.900454
2019,TRUE,TRUE,FALSE,South America,6.030315
2019,TRUE,FALSE,TRUE,Europe,0.066679
2019,TRUE,TRUE,FALSE,Oceania,1.597503
2019,TRUE,FALSE,TRUE,Caribbean & Central America,0.832512
2019,TRUE,TRUE,FALSE,Middle East,2.098281
2019,FALSE,TRUE,TRUE,South America,0.102337
2019,FALSE,TRUE,TRUE,Oceania,0.005268
2020,FALSE,FALSE,FALSE,Europe,8627.33888999996
2020,FALSE,FALSE,FALSE,South & Central Asia,25584.8852250001
2020,FALSE,FALSE,FALSE,Far East Asia,11142.4503849999
2020,FALSE,FALSE,FALSE,Middle East,22639.8762760003
2020,FALSE,FALSE,FALSE,Caribbean & Central America,5269.43725799999
2020,TRUE,FALSE,FALSE,South & Central Asia,881.519077000001
2020,TRUE,FALSE,FALSE,Middle East,432.101661999999
2020,TRUE,FALSE,FALSE,Europe,138.365721
2020,FALSE,TRUE,FALSE,Caribbean & Central America,1120.381272
2020,FALSE,TRUE,FALSE,South & Central Asia,3885.152552
2020,FALSE,FALSE,FALSE,South America,4244.38136699999
2020,FALSE,TRUE,FALSE,Europe,445.376662
2020,FALSE,FALSE,TRUE,South & Central Asia,35.98207
2020,FALSE,FALSE,TRUE,Europe,44.336112
2020,FALSE,TRUE,FALSE,South America,1225.275777
2020,TRUE,FALSE,FALSE,Caribbean & Central America,143.635214
2020,FALSE,FALSE,FALSE,Oceania,2469.648245
2020,TRUE,FALSE,FALSE,South America,130.561388
2020,FALSE,TRUE,FALSE,Far East Asia,1409.578429
2020,FALSE,FALSE,TRUE,Middle East,78.459952
2020,FALSE,TRUE,FALSE,Oceania,316.94511
2020,FALSE,FALSE,TRUE,Far East Asia,26.098305
2020,TRUE,FALSE,FALSE,Far East Asia,215.211935
2020,TRUE,FALSE,TRUE,Middle East,11.210028
2020,TRUE,TRUE,FALSE,South & Central Asia,22.100406
2020,TRUE,FALSE,TRUE,South & Central Asia,47.110424
2020,FALSE,FALSE,TRUE,South America,23.693585
2020,TRUE,FALSE,TRUE,Far East Asia,4.441728
2020,TRUE,FALSE,TRUE,Europe,8.308043
2020,TRUE,TRUE,FALSE,Far East Asia,7.813576
2020,TRUE,TRUE,FALSE,Europe,40.67053
2020,FALSE,TRUE,FALSE,Middle East,166.682665
2020,FALSE,FALSE,TRUE,Oceania,1.47825
2020,TRUE,FALSE,FALSE,Oceania,61.194767
2020,FALSE,FALSE,TRUE,Caribbean & Central America,13.685109
2020,TRUE,TRUE,TRUE,South America,0.000515
2020,TRUE,TRUE,TRUE,Oceania,0.016053
2020,TRUE,TRUE,TRUE,Caribbean & Central America,0.019932
2020,TRUE,FALSE,TRUE,Oceania,0.006693
2020,TRUE,TRUE,FALSE,South America,9.007524
2020,FALSE,TRUE,TRUE,South & Central Asia,0.018147
2020,TRUE,TRUE,FALSE,Oceania,2.075862
2020,TRUE,FALSE,TRUE,Caribbean & Central America,0.51276
2020,TRUE,TRUE,FALSE,Caribbean & Central America,4.639751
2020,TRUE,FALSE,TRUE,South America,0.080619
2020,TRUE,TRUE,TRUE,Middle East,0.257907
2020,TRUE,TRUE,FALSE,Middle East,4.041711
2020,FALSE,TRUE,TRUE,Middle East,0.351615
2020,FALSE,TRUE,TRUE,Europe,0.458074
2021,TRUE,FALSE,FALSE,Europe,204.328586
2021,FALSE,FALSE,FALSE,South & Central Asia,23897.0739519999
2021,FALSE,TRUE,FALSE,South & Central Asia,3731.272815
2021,FALSE,FALSE,FALSE,Middle East,22090.8202679998
2021,FALSE,FALSE,FALSE,Europe,8649.45630699994
2021,FALSE,FALSE,FALSE,Far East Asia,8321.0591360001
2021,TRUE,FALSE,FALSE,South & Central Asia,914.420702000001
2021,FALSE,TRUE,FALSE,Caribbean & Central America,728.214257
2021,FALSE,TRUE,FALSE,Far East Asia,2242.598393
2021,FALSE,FALSE,TRUE,South & Central Asia,48.713199
2021,FALSE,FALSE,TRUE,Far East Asia,270.243555
2021,TRUE,FALSE,FALSE,Middle East,426.012719
2021,FALSE,FALSE,FALSE,South America,4612.69724700001
